employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,TrainingPerformance,TrainingEffectiveness,WorkforceStability,RetentionRisk,Region_Display,Top_Performer
8724,Technology,region_26,Bachelors,m,sourcing,1,24,3,1,1,0,77,High,Medium,Low,High Risk,Region 26,No
74430,HR,region_4,Bachelors,f,other,1,31,3,5,0,0,51,Medium,Medium,Medium,Medium Risk,Region 4,No
72255,Sales & Marketing,region_13,Bachelors,m,other,1,31,1,4,0,0,47,Low,Low,Medium,High Risk,Region 13,No
38562,Procurement,region_2,Bachelors,f,other,3,31,2,9,0,0,65,Medium,Low,Medium,High Risk,Region 2,No
64486,Finance,region_29,Bachelors,m,sourcing,1,30,4,7,0,0,61,Medium,Medium,Medium,Medium Risk,Region 29,No
46232,Procurement,region_7,Bachelors,m,sourcing,1,36,3,2,0,0,68,Medium,Medium,Low,High Risk,Region 7,No
54542,Finance,region_2,Bachelors,m,other,1,33,5,3,1,0,57,Medium,Medium,Medium,Medium Risk,Region 2,No
67269,Analytics,region_22,Bachelors,m,sourcing,2,36,3,3,0,0,85,High,Medium,Medium,Medium Risk,Region 22,No
66174,Technology,region_7,Masters & above,m,other,1,51,4,11,0,0,75,High,Medium,Medium,Medium Risk,Region 7,No
76303,Technology,region_22,Bachelors,m,sourcing,1,29,5,2,1,0,76,High,Medium,Low,High Risk,Region 22,No
60245,Sales & Marketing,region_16,Bachelors,m,sourcing,2,40,5,12,1,0,50,Medium,High,High,Low Risk,Region 16,No
42639,Sales & Marketing,region_17,Masters & above,m,sourcing,1,40,3,10,0,0,46,Low,Medium,Medium,Medium Risk,Region 17,No
30963,Sales & Marketing,region_4,Masters & above,f,other,1,34,3,4,0,0,52,Medium,Medium,Medium,Medium Risk,Region 4,No
54055,Analytics,region_24,Bachelors,m,other,1,37,3,10,0,0,82,High,Medium,Medium,Medium Risk,Region 24,No
42996,Operations,region_11,Bachelors,m,sourcing,1,30,5,6,1,0,58,Medium,Medium,High,Medium Risk,Region 11,No
12737,Sales & Marketing,region_7,Bachelors,m,sourcing,1,31,4,4,1,0,47,Low,Medium,Medium,Medium Risk,Region 7,No
